lr_path,caption
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20210419.png,"a satellite image of a rural area, and a satellite image of a rural area and a city"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20210517.png,a satellite image of a city with small farming fields and a few buildings
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20210527.png,a satellite image shows a large area with a small patch of land and a few trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20210623.png,a satellite image of a field with crops and grass
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20210701.png,a satellite image of a crop field showing a green field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211006.png,satellite image showing a rural area with a lot of farming land
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211011.png,a satellite image of a farm reveals a huge landmass of arid lands
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211014.png,a satellite image of the country's southern border with southeastern california shows a large tract of land surrounded by a sand-covered sand-shelf surrounded by a dark sand-shelf in the southeast of the country
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211016.png,"a satellite sat on an orbit above the earth reveals the earth's surface as a smooth, flat, yellow planet"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211029.png,a reddish area with a green border
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211031.png,a satellite image of the southern part of the northern arctic continent with a very large ice sheet on the ice sheet and a large
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211105.png,"saar is seen from space, showing a landmass viewed from the earth s surface"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211108.png,a satellite image of the rural prairie landscape of the agrarian prairie in northwestern california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211110.png,a satellite image of the soil and crops in the south
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211115.png,an aerial view of a farm in southeastern montana
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211118.png,b satellite image of earth s surface
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20211125.png,the image is a satellite image of the earth
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220211.png,a satellite image shows a rural village and a rural farm area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220213.png,"the satellite images of the crooks, texas, were taken"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220221.png,a satellite image of a farm in the countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220310.png,a satellite image of the region of the state of alabama at the time of a recent tornado
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220318.png,satellite image of a city with a populated area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220320.png,satellite image of a farm field near the edge of a city with large trees and a house with a barn and large trees in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220323.png,a satellite image of the city of el paso pictured in the upper left hand
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220330.png,satellite image of texas city and surrounding area courtesy of nasa / space imagery
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220407.png,a satellite image of a city in the middle of a large country
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220424.png,saturating and saturating: a satellite image of saturating land surface
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220427.png,"if the image was taken from space, there would be no ground level, no grass and no trees and no houses"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220502.png,image from spacecraft msi image of earth from spacecraft msi image of earth from spacecraft msi image of earth from spacecraft
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220514.png,satellite images of a small asian island
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220519.png,a satellite image of the planet earth in a planetary orbit around the sun
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220601.png,"a satellite image of a rural area in southern india shows a city, its outskirts and the agricultural land on the left"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20220606.png,a satellite view of a farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20221016.png,a satellite image of a wheat field surrounded by a plowed field and pastures
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20221024.png,a satellite image of a rural area showing a farm and pasture
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20221026.png,satellite image from spacecraft telescopes reveals the shape of a lake in a desert
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20221029.png,satellite image of the country of venezuela in a low-altitude satellite
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20221123.png,it shows a small area of land surrounded by green grass
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20221130.png,a satellite image of a farm near a city in california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20221218.png,satellite picture of a southwestern county in california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20230122.png,a satellite has taken a picture of a land and sea ice shelf in a large ice sheet surrounded by ice
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20230226.png,satellite image of an area near sacramento valley
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20230305.png,it shows the area of a small area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20230310.png,it shows the countryside of a country or continent in which the satellite image is taken from
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20230412.png,it is a satellite image of a cultivated field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20230417.png,satellite image of agricultural crops and wheat fields in southern oklahoma
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231004.png,satellite image of sand desert and green fields in the santos valley
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231006.png,a satellite image shows a rural area with farms
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231011.png,the image shows a view of the field of agricultural land in an area of the u s state of washington with the octagon of sacramento county
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231019.png,a satellite image of the land is shown in the lower right
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231024.png,this satellite image shows a wheat field with the same crop on it
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231026.png,a satellite image of a farm showing the crops and the buildings on the field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231029.png,satellite view of the southwest valley of mexico city courtesy csat satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231031.png,an aerial satellite image showing the ruins of the hudson river valley and surrounding hills
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231105.png,satellite image of the earth and its land masses
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231120.png,a satellite image of a rural area with a few houses and some farms
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231205.png,satellite image shows a green field with some trees in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231208.png,a satellite image of the earth and solar system taken from the spacecraft saturn vcl on june 17
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231210.png,satellite image of a rural area with a farm in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_100_20231220.png,a satellite image of a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20210228.png,a satellite image of an area of farmland in the middle of a grassy plain
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20210407.png,it shows a farm with red crops and some green fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20210419.png,satellite image of a farm lands in the south valley of the california state of california viewed from a spacecraft
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20210517.png,a satellite image of a rural area with trees and grass in the foreground
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20210527.png,satellite image of a prairie in south america satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20210623.png,satellite view of the country hd satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20210701.png,the satellite image shows a large area with many small farms and crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211006.png,a view of a small town in the middle of a populated valley
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211011.png,a satellite image of a farm and a rural area with many buildings and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211014.png,this satellite image shows a rural area in southern ohio
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211016.png,a satellite image of a field with a few trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211029.png,"the satellite image shows a hilly area of land with many farms, a rocky ridge and a large valley below"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211031.png,satellite image of rice field and surrounding lands
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211105.png,"a satellite image of an area in a utopia , showing a city and a large city"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211108.png,satellite image of a city with a crop field in the foreground a satellite image of the city of san diego
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211110.png,"in satellite view, the field is surrounded by green hills and trees"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211115.png,"as image above, a satellite image is seen from space looking down over the prairies"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211118.png,aerial image of a farm and fields in the state of texas
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20211125.png,satellite images of agricultural land
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220211.png,"satellite image of green field of agriculture in samsun county, india"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220213.png,"satellite image of a farmland, surrounded by fields and trees a satellite image of a farmland, surrounded by fields and trees"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220221.png,"a satellite image of the negro valley, utah and idaho from a satellite on the negro sat satellite"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220310.png,satellite image of a rural area of a city and several small villages
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220318.png,view of a city of the u.s. southwest america's largest city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220320.png,it shows the countryside and the town of santos
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220323.png,a satellite view of a large city and surrounding countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220330.png,satellite image of a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220407.png,"satellite image of an urban area, satellite image of the city of san francisco, california"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220424.png,"a satellite image of a field, with green grass and trees, and a village with houses and a church"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220427.png,this satellite image is a satellite image of a sand-filled field in saharan africa
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220502.png,it includes the entire area of a large farming field with trees and grasses
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220514.png,it shows a farmland with a few houses and a few farmland structures
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220519.png,a satellite image of a farm field with green grass and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220601.png,saturn is a large planet in the solar system
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20220606.png,a satellite image of a field in the middle of a large prairie
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20221016.png,satellite image of a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20221024.png,a satellite image of the land surface of a farm in a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20221026.png,a satellite image of a farm in a valley with a large lake
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20221029.png,satellite image of a field of wheat and soybeans surrounded by hills and mountains
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20221123.png,"satellite view of a farmland in the southwest corner of san diego county california, u.s."
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20221130.png,a satellite image of a farm and a distant mountain is shown
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20221218.png,a satellite image of a green farm field shows a large area of land with grass and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20230122.png,satellite image of a farm viewed from atop a large green field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20230226.png,it reveals the surface of the earth and a surface extending over the earth forming a shape of a rectangle
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20230305.png,it is shown in the image as a brown smudge
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20230310.png,a satellite image of the eastern oklahoma countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20230412.png,satellite image of a small farm in a southwestern state
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20230417.png,a satellite image of a country's agricultural landscape  a b c d e
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231004.png,"an aerial view of a farmland in st john's parish, texas, u.s."
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231006.png,"i have seen a lot of these images before i've had to zoom in on a specific area, and in a few cases i've had to zoom in on a particular area of the image, and zoom in on a small area of the image"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231011.png,"it's a satellite image of the tasmanian countryside from the spacecraft a sats satellite,"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231019.png,satellite image shows the landscape in a field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231024.png,the equatorial regions of the earth are visible in the satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231026.png,"satellite images show the land, air, and sea on a large portion of the globe"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231029.png,a satellite image of a field of wheat and soybeans
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231031.png,"it shows a field, a grove of trees, and some buildings in a green space"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231105.png,a satellite image of a country with a vast expanse of green farmland
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231120.png,a satellite image shows a small rural farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231205.png,"satellite image of land from a sav satellite image of a sav satellite image of a sav satellite image of a land satellite image of a land satellite image of a land satellite image of the earth, and the surrounding"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231208.png,the top image shows the sky and clouds forming over the mountain
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231210.png,"satellite image of a village in gujarat, pakistan"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_101_20231220.png,satellite image of land map of southern california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20210228.png,satellite image of a field and a hilltop
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20210407.png,satellite image of a farmland in sacramento county california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20210419.png,a satellite image of the state of arizona was created by a satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20210517.png,a satellite image of a city in california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20210527.png,a satellite image of a small rural area in the middle of a desert
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20210623.png,a satellite image showing the countryside at various elevations a satellite image shows the countryside at various elevations and a map shows the resulting terrain in the image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20210701.png,satellite image of a green field in a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211006.png,ssd satellite image of land on the north side of a county in oklahoma county
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211011.png,the satellite image shows a large area of farmland and farmland in the middle
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211014.png,"a satellite image shows a large field of wheat, soybeans, soybeans, wheat, rice, corn, soybeans, and wheatgrass"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211016.png,"a satellite image of a field, shown in the top left corner of the image"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211029.png,satellite image of the u.s. southwest
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211031.png,"a map of the map of the san diego valley, california"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211105.png,a satellite image of a southwestern United States
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211108.png,a satellite image of a ranch in the foreground
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211110.png,a satellite image of a farm and field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211115.png,"a satellite image of the land of oklahoma county, a satellite image of a satellite image of a satellite image of a satellite image of a county, oklahoma county, a satellite image of the land of oklahoma county, a satellite image of a satellite image of a county, oklahoma county, a satellite image of a county, oklahoma county, a"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211118.png,"satellite image of oklahoma city, kansas"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20211125.png,a satellite image shows the land and sky in the middle of a green field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220211.png,"from the satellite image, the area is covered in green grass and grassy areas with scattered trees and grassy areas"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220213.png,a satellite image of a farm in the middle of a wheat field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220221.png,satellite image of a green field with grass and trees in the horizon
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220310.png,satellite image of a farm in a rural area in texas
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220318.png,satellite image of an urban area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220320.png,a satellite image of a farm showing crops and pastures
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220323.png,"a satellite image of a field, area of land, from space"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220330.png,satellite image of a farmland in the southern united states
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220407.png,a satellite image of a field of corn and wheat
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220424.png,a satellite image shows the topography of a deserted area in the middle of a large agricultural field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220427.png,images of sand dunes in a desert desert
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220502.png,a satellite image of a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220514.png,"a satellite image of an area of land, showing the terrain from a satellite"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220519.png,a satellite image of a rural area in southeastern california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220601.png,a satellite image of an area of land with a satellite orbiting it
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20220606.png,a satellite image of the ground showing a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20221016.png,a satellite image of a farm in rural area of a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20221024.png,a satellite image of the tucson valley reveals a complex pattern of land formations a satellite image of a large agricultural area in a large valley
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20221026.png,a satellite image of the southern tip of california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20221029.png,a satellite image of an agricultural field in southwestern california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20221123.png,a satellite image of a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20221130.png,a satellite image of a rural area with a small area of fields and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20221218.png,"sa , a , and a b in the upper left quadrant of the frame, which shows a green field and farmland area in the middle of the frame"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20230122.png,"a satellite image of a small region of land with no trees, but with a few trees"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20230226.png,"a satellite image of a farm in a utah county, usa"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20230305.png,a satellite image of a field shows a green field with crops and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20230310.png,satellite image of a farmstead with crops
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20230412.png,a satellite image of a farm
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20230417.png,satellite image of rural valley in california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231004.png,a satellite image of the area is shown
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231006.png,a satellite image of an irrigated agricultural field in the middle of the image demonstrates the ability of satellites to create images of large areas of rural land
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231011.png,"a satellite image shows a valley and surrounding area, including a few small hamlets and a few villages in the area"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231019.png,as shown in the image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231024.png,a satellite image of a field with trees and fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231026.png,"sand bluff, california image courtesy nasa"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231029.png,a satellite image of a large area of land
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231031.png,a satellite image of a large ranch in the southwest corner of san diego county
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231105.png,satellite image of the farmlands near a lake in montana california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231120.png,a satellite image of a farm with grain fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231205.png,a satellite image of a rural area in california
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231208.png,a cloudy sky is visible in this image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231210.png,a satellite image of an area with grass and wheat fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_102_20231220.png,satellite image of a farm in a rural area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20210228.png,satellite image of cyprus
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20210407.png,the image shows the shape of a small village surrounded by green fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20210419.png,"a satellite image of the village of jiada, san adan"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20210517.png,"a satellite view of the area around the village of al-sira, on the northern coast of iran"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20210527.png,satellite image of a village in the southwestern desert
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20210623.png,it shows a satellite image of an area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20210701.png,a satellite image shows the earth and a village in a large country
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211006.png,satellite image of a country town in saharan africa
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211011.png,satellite images of the eid al adha celebrations
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211014.png,a satellite image of a field and an urban area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211016.png,a satellite image of the area around the chilean city of cádiz
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211029.png,satellite images of the korean city of aqaba
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211031.png,a satellite image of a rural village and its surrounding land area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211105.png,a satellite image of a country and the world's largest desert
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211108.png,satellite image of a city on a southeastern russian map
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211110.png,a satellite image of a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211115.png,it shows a city and a populated area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211118.png,a satellite reveals the country's agricultural landscape and surrounding countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20211125.png,a satellite image of the village of rio de janeiro - satellite image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220211.png,the satellite image shows a green valley surrounded by hills
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220213.png,"a satellite image of a city, town, or village"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220221.png,it shows the earth and the stars
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220310.png,"as the earth rotates, it makes the image of a large city"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220318.png,a satellite image of a city of st louis based on the earth's surface reveals a city with buildings lining the road pictured above
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220320.png,satellite image of colombia - view from the sky
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220323.png,it has a green area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220330.png,a satellite image shows a town in the country side of saskatchewan
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220407.png,a satellite image of a small village in the middle of a field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220424.png,"a satellite image of a city in cairo, sr"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220427.png,a satellite image of the earth from space courtesy of aesd
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220502.png,a satellite image of the world s top 100 nations
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_103_20220514.png,a satellite image of a city
